date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:39:27	6583/6583	U-----	200	untouched ('')	image/jpeg	etag:%22161066-19b7-50ccd37f22b80%22	http://demos.bootdey.com/dayday/img/Friends/child-1.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Friends/child-1.jpg	(from http://demos.bootdey.com/dayday/profile.html)
16:39:27	6715/6715	U-----	200	untouched ('')	image/jpeg	etag:%22161078-1a3b-50ccd41200600%22	http://demos.bootdey.com/dayday/img/Friends/woman-5.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Friends/woman-5.jpg	(from http://demos.bootdey.com/dayday/profile.html)
16:39:27	8984/8984	U-----	200	untouched ('OK')	text/css	etag:%22121b21-2318-5325e52061c00%22	http://demos.bootdey.com/dayday/assets/css/profile2.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/profile2.css	(from http://demos.bootdey.com/dayday/profile2.html)
16:39:27	76367/76367	U-----	200	untouched ('')	image/jpeg	etag:%22161056-12a4f-510b952574b00%22	http://demos.bootdey.com/dayday/img/Cover/game.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Cover/game.jpg	(from http://demos.bootdey.com/dayday/profile3.html)
16:39:27	6802/6802	U-----	200	untouched ('')	image/jpeg	etag:%22161079-1a92-50ccd417b9380%22	http://demos.bootdey.com/dayday/img/Friends/woman-6.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Friends/woman-6.jpg	(from http://demos.bootdey.com/dayday/profile2.html)
16:39:27	6604/6604	U-----	200	untouched ('OK')	text/css	etag:%22121b23-19cc-5326ca07da980%22	http://demos.bootdey.com/dayday/assets/css/profile3.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/profile3.css	(from http://demos.bootdey.com/dayday/profile3.html)
16:39:27	7077/7077	U-----	200	untouched ('')	image/jpeg	etag:%2216107a-1ba5-50ccd41d72100%22	http://demos.bootdey.com/dayday/img/Friends/woman-7.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Friends/woman-7.jpg	(from http://demos.bootdey.com/dayday/profile3.html)
16:39:28	3897/3897	U-----	200	untouched ('OK')	text/css	etag:%22121b29-f39-532ff2affa6c0%22	http://demos.bootdey.com/dayday/assets/css/user_detail.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/user_detail.css	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:28	2804/2804	U-----	200	untouched ('OK')	text/css	etag:%22121b24-af4-532ff25a25c40%22	http://demos.bootdey.com/dayday/assets/css/profile4.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/profile4.css	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:29	669/669	U-----	200	untouched ('OK')	text/css	etag:%22121b06-29d-533019edfbc40%22	http://demos.bootdey.com/dayday/assets/css/friends.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/friends.css	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:29	1312/1312	U-----	200	untouched ('OK')	text/css	etag:%22121b20-520-5332871a68480%22	http://demos.bootdey.com/dayday/assets/css/photos3.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/photos3.css	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:29	48044/48044	U-----	200	untouched ('')	image/jpeg	etag:%22161055-bbac-515ee590d5900%22	http://demos.bootdey.com/dayday/img/Cover/cover.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Cover/cover.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:29	52088/52088	U-----	200	untouched ('')	image/jpeg	etag:%2216108d-cb78-50e39b4df2180%22	http://demos.bootdey.com/dayday/img/Photos/1.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/1.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:30	92466/92466	U-----	200	untouched ('')	image/jpeg	etag:%22161090-16932-50e39f726e780%22	http://demos.bootdey.com/dayday/img/Photos/4.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/4.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:30	42299/42299	U-----	200	untouched ('')	image/jpeg	etag:%22161091-a53b-52cc3559ab380%22	http://demos.bootdey.com/dayday/img/Photos/5.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/5.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:30	49998/49998	U-----	200	untouched ('')	image/jpeg	etag:%22161092-c34e-50e48d8208f80%22	http://demos.bootdey.com/dayday/img/Photos/6.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/6.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:30	63729/63729	U-----	200	untouched ('')	image/jpeg	etag:%22161093-f8f1-50e48e05a4600%22	http://demos.bootdey.com/dayday/img/Photos/7.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/7.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:30	39477/39477	U-----	200	untouched ('')	image/jpeg	etag:%22161094-9a35-52cc354880b00%22	http://demos.bootdey.com/dayday/img/Photos/8.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/8.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:31	55148/55148	U-----	200	untouched ('')	image/jpeg	etag:%22161095-d76c-50e48e7815400%22	http://demos.bootdey.com/dayday/img/Photos/9.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Photos/9.jpg	(from http://demos.bootdey.com/dayday/profile4.html)
16:39:31	3056/3056	U-----	200	untouched ('OK')	text/css	etag:%22121b27-bf0-5332ab7eda0c0%22	http://demos.bootdey.com/dayday/assets/css/sidebar_profile.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/sidebar_profile.css	(from http://demos.bootdey.com/dayday/sidebar_profile.html)
16:39:31	250213/250213	U-----	200	untouched ('')	image/jpeg	etag:%22161059-3d165-52cc467120680%22	http://demos.bootdey.com/dayday/img/Cover/nature.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Cover/nature.jpg	(from http://demos.bootdey.com/dayday/user_detail.html)
16:39:32	2033/2033	U-----	200	untouched ('OK')	text/css	etag:%22120b16-7f1-533cb93d2d9c0%22	http://demos.bootdey.com/dayday/assets/css/edit_profile.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/edit_profile.css	(from http://demos.bootdey.com/dayday/edit_profile.html)
16:39:32	354/354	U-----	200	untouched ('OK')	text/css	etag:%22121b07-162-5333dfa01d900%22	http://demos.bootdey.com/dayday/assets/css/friends2.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/friends2.css	(from http://demos.bootdey.com/dayday/friends2.html)
16:39:33	3239/3239	U-----	200	untouched ('OK')	text/css	etag:%22121b25-ca7-532703e63b100%22	http://demos.bootdey.com/dayday/assets/css/profile_wall.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/profile_wall.css	(from http://demos.bootdey.com/dayday/profile_wall.html)
16:39:33	6086/6086	U-----	200	untouched ('')	image/jpeg	etag:%22161071-17c6-50ccd3b48a980%22	http://demos.bootdey.com/dayday/img/Friends/guy-8.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Friends/guy-8.jpg	(from http://demos.bootdey.com/dayday/profile_wall.html)
16:39:33	1940/1940	U-----	200	untouched ('OK')	text/css	etag:%22121b1d-794-53270e9281f40%22	http://demos.bootdey.com/dayday/assets/css/photos1.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/photos1.css	(from http://demos.bootdey.com/dayday/photos1.html)
16:39:33	995/995	U-----	200	untouched ('OK')	text/css	etag:%22121b1f-3e3-532716784c140%22	http://demos.bootdey.com/dayday/assets/css/photos2.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/photos2.css	(from http://demos.bootdey.com/dayday/photos2.html)
16:39:33	335/335	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202017%2011:09:32%20GMT	http://demos.bootdey.com/dayday/photos.html	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/photos.html	(from http://demos.bootdey.com/dayday/photos1.html)
16:39:34	310531/310531	U-----	200	untouched ('')	image/jpeg	etag:%22161058-4bd03-51dee864a6e00%22	http://demos.bootdey.com/dayday/img/Cover/manok.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Cover/manok.jpg	(from http://demos.bootdey.com/dayday/photos2.html)
16:39:34	73039/73039	U-----	200	untouched ('')	image/jpeg	etag:%22161054-11d4f-51921a5554f80%22	http://demos.bootdey.com/dayday/img/Cover/corb.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Cover/corb.jpg	(from http://demos.bootdey.com/dayday/photos2.html)
16:39:34	90654/90654	U-----	200	untouched ('')	image/png	etag:%22161052-1621e-5325f1f6be580%22	http://demos.bootdey.com/dayday/img/Cover/bootsrap-cover2.png	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Cover/bootsrap-cover2.png	(from http://demos.bootdey.com/dayday/photos2.html)
16:39:34	3250/3250	U-----	200	untouched ('OK')	text/css	etag:%22121b19-cb2-5326ee091dbc0%22	http://demos.bootdey.com/dayday/assets/css/messages1.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/messages1.css	(from http://demos.bootdey.com/dayday/messages1.html)
16:39:35	4019/4019	U-----	200	untouched ('OK')	text/css	etag:%22121b1a-fb3-5326fb3b07d40%22	http://demos.bootdey.com/dayday/assets/css/messages2.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/messages2.css	(from http://demos.bootdey.com/dayday/messages2.html)
16:39:35	7373/7373	U-----	200	untouched ('')	image/jpeg	etag:%22161070-1ccd-50ccd3aed1c00%22	http://demos.bootdey.com/dayday/img/Friends/guy-7.jpg	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/Friends/guy-7.jpg	(from http://demos.bootdey.com/dayday/messages2.html)
16:39:35	3297/3297	U-----	200	untouched ('OK')	text/css	etag:%22121b0a-ce1-5325f95cbda00%22	http://demos.bootdey.com/dayday/assets/css/group.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/group.css	(from http://demos.bootdey.com/dayday/group.html)
16:39:35	3177/3177	U-----	200	untouched ('OK')	text/css	etag:%22121b04-c69-5338ed109b440%22	http://demos.bootdey.com/dayday/assets/css/file_manager.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/file_manager.css	(from http://demos.bootdey.com/dayday/file_manager.html)
16:39:36	1497/1497	U-----	200	untouched ('OK')	text/css	etag:%22121b1c-5d9-533675dfc09c0%22	http://demos.bootdey.com/dayday/assets/css/people_directory.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/people_directory.css	(from http://demos.bootdey.com/dayday/people_directory.html)
16:39:36	996/996	U-----	200	untouched ('OK')	text/css	etag:%22121b0e-3e4-5337817fb71c0%22	http://demos.bootdey.com/dayday/assets/css/list_posts.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/list_posts.css	(from http://demos.bootdey.com/dayday/list_posts.html)
16:39:36	618/618	U-----	200	untouched ('OK')	text/css	etag:%22121b08-26a-5338f208cedc0%22	http://demos.bootdey.com/dayday/assets/css/grid_posts.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/grid_posts.css	(from http://demos.bootdey.com/dayday/grid_posts.html)
16:39:36	4264/4264	U-----	200	untouched ('')	application/javascript	etag:%22142688-10a8-53158cefb1dc0%22	http://demos.bootdey.com/dayday/assets/js/grid_posts.js	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/js/grid_posts.js	(from http://demos.bootdey.com/dayday/grid_posts.html)
16:39:37	954/954	U-----	200	untouched ('OK')	text/css	etag:%22121b26-3ba-53406cc80e240%22	http://demos.bootdey.com/dayday/assets/css/recover_password.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/recover_password.css	(from http://demos.bootdey.com/dayday/recover_password.html)
16:39:37	1347/1347	U-----	200	untouched ('OK')	text/css	etag:%22120ecd-543-5325e6f8735c0%22	http://demos.bootdey.com/dayday/assets/css/errors.css	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/errors.css	(from http://demos.bootdey.com/dayday/error404.html)
16:39:37	1386/1386	U-----	200	untouched ('')	image/png	etag:%2216107d-56a-5314314bc2e00%22	http://demos.bootdey.com/dayday/img/icon-edit.png	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/icon-edit.png	(from http://demos.bootdey.com/dayday/assets/css/user_detail.css)
16:39:37	232/232	U-----	200	untouched ('')	image/png	etag:%22161096-e8-53270e5ff6800%22	http://demos.bootdey.com/dayday/img/plus.png	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/img/plus.png	(from http://demos.bootdey.com/dayday/assets/css/photos1.css)
16:39:38	372/372	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2012%20Sep%202017%2011:09:36%20GMT	http://demos.bootdey.com/dayday/assets/css/assets/plugins/superbox/img/close.gif	C:/My%20Web%20Sites/test/demos.bootdey.com/dayday/assets/css/assets/plugins/superbox/img/close.html	(from http://demos.bootdey.com/dayday/assets/css/photos2.css)
